,es_respuesta,fecha,likes,nota_id,respuestas,texto,url,usuario,autor,seccion,titulo,severe_toxicity,toxicity,caracteres,caracteresSE
28815,False,23:06 07/10/2018,2.0,405,0.0,La encuestas le daban 30%... como a la porota...jijiji,https://www.lanacion.com.ar/2179453-elecciones-brasil-dilma-rousseff-tuvo-otro-mal,roderick66,,El Mundo,Elecciones en Brasil: Dilma Rousseff tuvo otro mal día y no entraría al Senado,0.11693803,0.23554288,54,46
25533,True,18:17 06/10/2018,1.0,367,1.0,@lsmith9 Ya me estoy empezando a creer que les paga porota.,https://www.lanacion.com.ar/2179174-los-principales-bancos-del-mundo-confirmaron-su,Fremdling,Rafael Mathus Ruiz,Economía,"Dietrich dijo que vio ""mucho interés"" de los bancos en participar en el fideicomiso de la PPP",0.13764796,0.23535499,59,49
26870,False,20:03 06/10/2018,2.0,382,1.0,"CARRIO    esta  haciendo    lo    imposible  para    ""terminar""   de    romper  su   ""alianza"".  Va  a   terminar     acollarada    con  la  porota.",https://www.lanacion.com.ar/2179233-carrio-indignada-cambio-afip-equivale-aliarse-echegaray,spcristal,,Política,"Carrió, indignada por un cambio en la AFIP: ""Equivale a aliarse con Echegaray y su gente""",0.21141462,0.23527072,148,96
26735,True,21:46 06/10/2018,,382,0.0,"@jacq99 @nesfer24 Sabes cuanto dejo Porota y sus forajidos aparte de dejar en cero el BCRA, sin energia, sin trigro, sin carne y 30% de pobreza?",https://www.lanacion.com.ar/2179233-carrio-indignada-cambio-afip-equivale-aliarse-echegaray,nesfer24,,Política,"Carrió, indignada por un cambio en la AFIP: ""Equivale a aliarse con Echegaray y su gente""",0.16605462,0.23513721,144,119
56328,True,17:00 19/10/2018,,756,0.0,"@wsoidier @elcoso No se, ya lo empezó a putttear al gato. Asique pasa a ser exglobo en breve.",https://www.lanacion.com.ar/2183320-federici-uif-el-pais-estuvo-gobernado-organizacion,elcoso,Ignacio Federico,Economía,"Federici, de la UIF: ""El país estuvo gobernado por una organización criminal destinada a lucrar""",0.18216947,0.23488323,93,76
53051,False,17:49 18/10/2018,1.0,740,0.0,"Al que llevaba la agenda y el celular ""le descubren"" (puede haber más) 73 palitos verdes. Peronia desplegando toda su decadencia y atraso Jurásico.",https://www.lanacion.com.ar/2182927-se-complica-situacion-judicial-viuda-munoz-exsecretario,samus26,Paz Rodríguez Niell,Política,"Se complica la situación judicial de la viuda de Muñoz, el exsecretario de Kirchner",0.20592222,0.23446906,147,124
30532,True,01:17 09/10/2018,1.0,427,2.0,@jmar SOLO HAY QUE PONER UN BULRRICH PARA GANARLE A POROTA,https://www.lanacion.com.ar/2179728-iguacel,lcow0134,Sofía Diamante,Economía,La boleta de gas tendrá un aumento adicional de $90 por mes por la suba del dólar,0.16450334,0.2342341,58,48
25514,True,18:21 06/10/2018,,367,0.0,"@Fremdling Es que Porota no tiene nada para proponer, solo busca volver para zafar de la justicia.",https://www.lanacion.com.ar/2179174-los-principales-bancos-del-mundo-confirmaron-su,sebastian_88,Rafael Mathus Ruiz,Economía,"Dietrich dijo que vio ""mucho interés"" de los bancos en participar en el fideicomiso de la PPP",0.12459631,0.23390248,98,82
21801,False,21:45 04/10/2018,5.0,322,0.0,23 años....la porota pasarà por Comodoro Py en silla de ruedas. Del geriàtrico al tribunal.....,https://www.lanacion.com.ar/2178479-contrabando-armas-ecuador-croacia-causa-mas-23,pepe_camorra,,Política,Contrabando de armas a Ecuador y Croacia: una causa con más de 23 años de marchas y contramarchas,0.25515723,0.23065970000000002,95,81
19077,True,19:56 02/10/2018,,265,0.0,@enkiitu La porota ni que lo digas!,https://www.lanacion.com.ar/2177731-carrio-denuncia-proscripcion-porque-peronismo-bloqueo-comision,bmontesano,Laura Serra,Política,Carrió denuncia proscripción porque el peronismo la bloqueó en una comisión,0.12468435,0.22866237,35,29
