,cantidad,keyword,toxicity
293,1,Deportivo Riestra,0.28042378766666665
295,1,Mundial de Voleibol,0.14359061
330,1,Luis Miguel Etchevehere,0.642229775
296,1,Las Panteras,0.14359061
329,1,Campo,0.642229775
328,1,"Cultura, Educación y Trabajo",0.2476951230869565
327,1,Empleo,0.2476951230869565
326,1,El futuro del empleo,0.2476951230869565
325,1,Alberto Abad,0.410818975
324,1,Agustín Calleri,0.21787135749999997
323,1,Asociación Argentina de Tenis,0.21787135749999997
319,1,Triple Corona,0.28172775136363637
317,1,Abierto de Palermo,0.28172775136363637
315,1,Carlos Carrascosa,0.2806036884519999
314,1,Caso García Belsunce,0.2806036884519999
313,1,Redes sociales,0.3691157940155642
312,1,Congreso Nacional,0.2791864726571182
18,1,Gimnasia y Esgrima La Plata,0.2961342648222223
308,1,Kim Kardashian,0.161201425
19,1,Rosario Central,0.2961342648222223
306,1,John Lennon,0.08566213500000001
20,1,Santiago Silva,0.2961342648222223
302,1,Rusia,0.2367881558695653
301,1,India,0.2367881558695653
300,1,Selfies,0.2367881558695653
299,1,Perú,0.22202193608181825
21,1,Matías Caruzzo,0.2961342648222223
618,1,Actividad económica,0.2171927266354167
