,usuarios,comments
200,flacas,"para entender el poder judicial.- 
El poder judicial esta saliendo  de  mas de dos decadas  en que los gobiernos populistas  con gran poder ejecutivo  y  poder legislativo  absolutamente    sumiso  la tenian  acorralada,.-
Si la sociedad siempre     se mueve en ondas  que  sobrepasan el nivel   medio perfecto.-
Si es probable  que  se  este pasando algo  de justiciera.- 
Pero   por la independencia  que  hoy tiene   NO por  presión  del gobierno.- 
Que la oposición  se queje  es  entendible  aunque saben  que también ellos  se pasaron de la  raya en la    corrupción.-
Pero  que los analistas   ,  opinologos.  comentaristas   noticieros  caigan sobre el gobierno  solo para  vender  mas    dañando   al país   eso NOOO"
201,guli1911,te parece independiente el poder judicial con el pro operando en las causas de Cristina?
202,flacas,@guli1911 Yo no  creo que  existan  tontos que  todavía crean que  cristina  es   inocente.- 
203,dldrosario,"@guli1911 Holaa, hola, holaaaaa, dalbon, hola, soy cristina peloduro ¡¡¡ no me ayudes másssss.¡¡¡¡"
204,KennethU,"@guli1911 Y, una de esas aprendieron de Neshtor y Critina. Pero son bebés de pecho al lado de esos dos."
205,pancho56,"@flacas ¿Independencia, quién, Comodoro Pro? "
206,marcec63,Y todavia no lo deruvieron? Y el padre no esta metido ? Que lentitud!!!! Como puede ser todo tan lento en la justicia? O sera q hay alguien llevando algun papel en mano a alguien para q le ponga un sello? La justicia sigue en la prehistoria!!!!
207,La_Robespierre,"Yo distraigo
Tu distraes
El distrae
....

Pero el que afanó, sabemos quien fue."
208,juanberi,"@La_Robespierre La que afanó, te referís?."
209,pancho56,"@juanberi Al gato se refiere, histórico manoteador del dinero del estado."
210,guli1911,si le toca a los hijos de moyano al hijo de  franco Macri también debería.
211,juanberi,"@guli1911 El Pablito tiene méritos propios, no lo subestime. Ya es un estilo mafioso propio. Y una pregunta, porque te molesta tanto que vayan en cana estos malandras?. "
212,guli1911,lo que me molesta es que los Macri no vayan en cana tambien
213,flacas,"@guli1911 Ya los comunistas  de la  unión soviética  despues de  75  años  de experiencia    concluyeron  que  la ineficacia  del  estado  supera  por cifras  infinitas   el pecado  de los ricos.  
Porque  aparte de ser RICO   no hay  juicio  sobre  coimas recibidas  ni   plata robada   ni valijas  voladoras.ni cuadernos.  ni arrepentidos.-  "
214,pancho56,"@flacas Asumió con 214 causas, DOSCIENTAS CATORCE, por si te olvidaste. Ahra tiene una pila más."
215,La_Robespierre,"@guli1911  tanta ecuanimidad es sorprendente. No se preocupe con el Hijo de Franco, ya le va a llegar algún día. Pero hoy hablemos de Moyano."
216,sogtulakk,"EL DISPARATE ES QUE UN DELINCUENTE ""PELIGROSO"" COMO USTED, AUN ESTE EN LIBERTAD."
