,cantidad,keyword,toxicity
736,1,Cueva de las Manos,0.10328971133333335
1194,1,Jorge Ferraresi,0.32873321123125016
755,1,felipe miguel,0.22709627659259254
756,1,Martín Ocampo,0.22709627659259254
757,1,Silvana Giudice,0.22709627659259254
759,1,incendio forestal,0.120690929
760,1,Acuerdo de París,0.6208710999999999
733,1,Leo Messi,0.2974739718125
1185,1,Sandleris,0.24759003899999998
741,1,Hospital Rivadavia,0.37955369051898774
783,1,Buenos Aires design,0.3477486072941177
727,1,cartoneros,0.22036027392857147
726,1,Aumento paritario,0.22036027392857147
725,1,Consumo masivo,0.09053554
805,1,Sugar,0.23447836916666667
1179,1,Príncipe Mohamed bin Salman,0.18033267
1178,1,Primavera Árabe,0.18033267
1141,1,déficit fiscal Argentina,0.1774963197931034
1176,1,Mohamed Mursi,0.18033267
1198,1,Intratables,0.439335876607595
809,1,Fernando Niembro,0.35086132133720926
810,1,Monumental,0.18155435316811602
811,1,"River Plate', ""Rodolfo D'Onofrio",0.18155435316811602
1199,1,Santiago del Moro,0.439335876607595
813,1,natación,0.1809942055
1175,1,Hosni Mubarak,0.18033267
814,1,Parque Olimpico,0.1809942055
1174,1,Hermandad Musulmana,0.18033267
1173,1,General Abdel-Fattah El-Sisi,0.18033267
815,1,competitividad,0.16384740516811605
816,1,exportaciones,0.16384740516811605
817,1,retenciones,0.16384740516811605
818,1,tipo de cambio real,0.16384740516811605
819,1,presupuesto,0.20080077833333332
1180,1,Gremio,0.18965115423700002
803,1,Mery del Cerro,0.2004517812
802,1,Emilia Attías,0.2004517812
793,1,Abuso sexual infantil,0.020036254
1184,1,Plazo fijo,0.24759003899999998
784,1,Hipódromo de Palermo,0.3477486072941177
785,1,Legislatura porteña,0.3477486072941177
786,1,retiro,0.3477486072941177
787,1,villa 31,0.3477486072941177
788,1,Ave María,0.4066096560926427
1183,1,¿Cómo está hoy la nena de la famosa publicidad de mayonesa?,0.24759003899999998
790,1,Madres de Plaza de Mayo,0.4066096560926427
1182,1,José Varacka,0.10389939065909091
792,1,Carolina Stanley,0.20326070555696216
794,1,Senado,0.020036254
1181,1,Matías Kranevitter,0.2661861290454546
732,1,Cirque du Soleil,0.2974739718125
795,1,Fiesta de la Vendimia,0.23578180153846157
796,1,mujeres trans,0.23578180153846157
731,1,Roberto Navarro,0.33497282461964284
1197,1,Diego Brancatelli,0.439335876607595
797,1,Ley de alimentos,0.357075435
798,1,Miranda,0.357075435
729,1,Eduardo Macchiavell,0.22036027392857147
800,1,Candela Vetrano,0.2004517812
801,1,casi angeles,0.2004517812
1177,1,monarquía saudita,0.18033267
1068,1,Rey Salman bin Abdulaziz Al Saud,0.3575425937037038
1140,1,Gas natural,0.286709944
1007,1,Hebe de Bonafini,0.31821905922727267
1100,1,Compraventa de inmuebles,0.16413080741379313
1099,1,ventas minoristas,0.07343425633333332
1098,1,comercios,0.07343425633333332
1097,1,CAME,0.07343425633333332
1096,1,Ironman,0.12965861
1010,1,Dulce Santiago,0.24798442710344826
1011,1,Maria Esperanza Casullo,0.24798442710344826
1012,1,Santiago Kovadloff,0.24798442710344826
1013,1,Sergio Berenztein,0.24798442710344826
1095,1,Salomé Di Iorio,0.2778922935
1014,1,Darío Sztajnszrajber,0.21207522378571428
1015,1,Canal 9,0.2164933238604652
1016,1,secretaría de trabajo,0.2164933238604652
1094,1,Club Huracán,0.14314309842857145
1017,1,Asalto,0.18146590166666665
1093,1,Mauricio Pochettino,0.2836542602
1018,1,Gerli,0.18146590166666665
1019,1,infarto,0.18146590166666665
1020,1,Centro Simon Wiesenthal,0.3507844398587445
1021,1,DAIA,0.3507844398587445
1092,1,Diego Simeone,0.2836542602
1023,1,alex rodriguez,0.20634675781818185
1091,1,Recep Tayyip Erdogan,0.3064329352857143
1090,1,Salman bin Abdulaziz,0.43865317666666664
1024,1,fotógrafo,0.20634675781818185
1101,1,metro cuadrado,0.16413080741379313
1006,1,Consenso Fiscal,0.3109097
893,1,Borges y Álvarez,0.2685942694720279
1102,1,precio propiedades,0.16413080741379313
983,1,ciudades caminables,0.2676400283636364
985,1,Broadway League,0.057967275
986,1,Diego Kolankowsky,0.057967275
987,1,brava tour,0.35720782392408756
988,1,El Marginal,0.29923442
989,1,El Recluso,0.29923442
990,1,Ignacio Serricchio,0.29923442
