,es_respuesta,fecha,likes,nota_id,respuestas,texto,url,usuario,autor,seccion,titulo,severe_toxicity,toxicity,caracteres,caracteresSE
16970,True,22:40 01/10/2018,1.0,231,0.0,"@cbreitor1 No se, ni me importa, si es negrito o blanquito o coloradito. Lo que debe importar es que son criminales.",https://www.lanacion.com.ar/2177450-atropello-mato-uno-ladrones-intento-asaltarlo-plena,mreale,,Política,Atropelló y mató a uno de los ladrones que intentó asaltarlo en plena ruta 9,,,116,96
17069,True,19:01 01/10/2018,1.0,231,0.0,"@obvius @utongo no importa el color, cuando menciona negro,  pardo o marrón se refiere al color del alma,  el cuerpo puede pertenecer a un  rubio de ojos claros,hay muchos blancos y rubios hablando guaraní y especialistas en acuchillar,   la conducta es  oscura. ",https://www.lanacion.com.ar/2177450-atropello-mato-uno-ladrones-intento-asaltarlo-plena,luisa22,,Política,Atropelló y mató a uno de los ladrones que intentó asaltarlo en plena ruta 9,,,263,215
20664,False,22:03 03/10/2018,6.0,292,0.0,¿A donde puede aspirar a llegar un país con estos marrones?. La fronteriza mental debería asumir que el relleno que ella representa es la tragedia que conspira para que nunca salgamos de la crisis. Y además cobra sueldo.- ,https://www.lanacion.com.ar/2178184-una-diputada-llamo-gato-mauricio-macri-jerry,Ojosagudos,,Política,"Una diputada llamó ""gato"" a Mauricio Macri y ""Jerry"" a Marcos Peña durante el informe de gestión",,,222,184
20685,True,21:53 03/10/2018,,292,0.0,"@ron_1091 anda a laburar escoria a tu trabajo mal pago,que haces mal,y a desgano.",https://www.lanacion.com.ar/2178184-una-diputada-llamo-gato-mauricio-macri-jerry,hperez77,,Política,"Una diputada llamó ""gato"" a Mauricio Macri y ""Jerry"" a Marcos Peña durante el informe de gestión",,,81,68
24047,False,01:26 06/10/2018,,351,1.0,"Globertos, a pagar impuestos, tarifazos, a sufrir tasas marcianas, inflación descontrolada, endeudamiento récord, desocupación ídem, corrupcion de guante blanco, bicicletas financieras, ineptitud, marchas y contramarchas, ineptitud, vagancia. Traguen su veneno, bestias irredentas. Inanes ignorantes.",https://www.lanacion.com.ar/2178978-mauricio-macri-cierre-del-b20-la-transparencia,GorejDemian,,Política,"Mauricio Macri, en el cierre del B20: ""La transparencia es clave para luchar contra la corrupción""",,,300,267
27658,False,10:55 08/10/2018,1.0,402,1.0,Ojalá el año que viene gane alguien como Bolsonaro acá para que saque a toda la plaga local y limitrofe que tenemos hace decadas. ,https://www.lanacion.com.ar/2179487-para-america-latina-impacto-triunfo-bolsonaro-puede,nemorinno,Daniel Lozano,El Mundo,"Para América Latina, el impacto de un triunfo de Bolsonaro puede ser sísmico",,,130,106
28485,True,01:01 08/10/2018,,404,0.0,@ricardo Ustedes se reproducen como plaga y no sirven para nada. Hagan silencio que pasa menos papelones,https://www.lanacion.com.ar/2179480-elecciones-brasil-bolsonaro-quedo-paso-presidencia-pero,lucasvas,Alberto Armendáriz,El Mundo,"Elecciones en Brasil: Bolsonaro obtuvo una contundente victoria, pero deberá ir al ballottage con Haddad",,,104,88
29237,False,18:55 07/10/2018,2.0,412,0.0,Macri 2019/2023 - Vidal 2023/2031 Y los cimarrones en la cucha ,https://www.lanacion.com.ar/2179413-elisa-carrio-macri-va-tener-elegir-pero,nesfer24,,Política,"Elisa Carrió aclara que no romperá con Cambiemos, pero insiste con que ""la impunidad no es negociable""",,,63,52
29261,False,18:53 07/10/2018,,412,0.0,"Los cimarrones buscan vandalismo, no vuelven mas ",https://www.lanacion.com.ar/2179413-elisa-carrio-macri-va-tener-elegir-pero,nesfer24,,Política,"Elisa Carrió aclara que no romperá con Cambiemos, pero insiste con que ""la impunidad no es negociable""",,,49,42
32180,False,17:39 08/10/2018,5.0,443,5.0,"Quiero un presi como Bolsonaro, a los cimarrones palo y a la bolsa Ja!Ja!Ja!Ja! ",https://www.lanacion.com.ar/2179723-confirman-procesamiento-cristina-kirchner-sus-hijos-causa,nesfer24,,Política,Confirman el procesamiento de Cristina Kirchner y sus hijos en la causa Hotesur,,,80,66
