,fecha,likes,respuestas,texto,usuario,es_respuesta,seccion,titulo,url
57352,20:19 18/10/2018,4.0,0,La Pena de Muerte salvaría muchas vidas. Es lo que se merecen los monstruos que la asesinaron.- ,omarhess,False,Sociedad,San Miguel: vecinos tiraron piedras y se enfrentaron a la policía luego de la aparición del cuerpo de Sheila Ayala,https://www.lanacion.com.ar/2183027-san-miguel-vecinos-tiraron-piedras-se-enfrentaron
57379,20:12 18/10/2018,1.0,2," Cuando Alfonsin dejó el gobierno, que asume Menem teníamos una inflación del 400% diario.  La situación económica era muchísimo pésima.  Primero hubo 2 minisstros de economía hasta que asume Cavallo ...
Cavallo privatizó todo porque la argentina estaba VACIADA !!!!!!!!!! ENDEUDADA Y SAQUEADA !!!!!!!! porque también los UCR se robaron todo  ..... no se crean que son solo los  PJ.
Lo escuché decir a Cavallo que se abría al mundo para que vinieran inversiones y agregars ""NO IMPORTA DE DONDE VENGA EL DINERO"", abiertamente estaba invitando al narcotráfico a invertir en el país.
EL NARCOTRAFICO se pronunció a partir del gobierno de Carlos Menem, y Duhalde ...
El Narcotráfico arruina a las sociedades porque las lleva a cometer las atrocidades más perversas sin ningún tipo de límites.
Luego vinieron los 12 años de los K que se financiaron con el narcotráfico .... porque nada les alcanzaba a ellos.
Los bolsos eran para sus bolsillos pero las campañas las financiaba el narcotráfico.

Lo que le hacen a los chicos en la argentina ES DE UNA PERVERSIDAD INIMAGINABLE !!!!!!!
El narcotráfico destruyó la sociedad argentina que era una sociedad sana, solidaria, feliz, con una pobreza digna, etc. etc. 

Los que asesinaron a la nena también fueron víctimas del estado .... porque el estado TAMBIÉN LOS ABANDONO A ELLOS ....
NO LOS EDUCARON (fíjense lo que son los baradel/petrosino, etc.) SON ANIMALES !!!!!!!!!
Y LOS JUECES HACEN LA SUYA PORQUE EL PJ LOS AMENAZA Y ENTONCES SE SOMETEN A LO QUE LOS DELINCUENTES DEL PJ MANDAN ....
SOBRESEEN Y ABSUELVEN SIN ASCO (VER ZAFARONI).

NO PODEMOS ACOSTUMBRARNOS A ESTO.
NO TIENEN QUE EXISTIR ESTOS ASESINOS, Y NO TENEMOS QUE ADMITIR EL NARCOTRAFICO !!!!!!!!!!!!!!

PENA DE MUERTE PARA EL NARCOTRAFICO !!!!!!!!!!!!!  A TIRAR A MATAR DIRECTAMENTE !!!!!!!!!!!

Y PENA DE MUERTE PARA AQUEL QUE LE PONGA UN DEDO A UN MENOR DE EDAD !!!!!!!!!!!!!",cserrano5,False,Sociedad,San Miguel: vecinos tiraron piedras y se enfrentaron a la policía luego de la aparición del cuerpo de Sheila Ayala,https://www.lanacion.com.ar/2183027-san-miguel-vecinos-tiraron-piedras-se-enfrentaron
57646,18:57 18/10/2018,5.0,0,"DIEZ AÑOS DE VIDA Y TERMINAR TIRADA ENTRE DOS PAREDONES EN UNA BOLSA ENTRE LA BASURA. 

LA BAJEZA, LA BESTIALIDAD, LA MALDAD, LA DENIGRACION HACEN QUE SEA  NECESARIA LA PENA DE MUERTE PARA ESTOS ASESINOS. ",jxxiii,False,Sociedad,San Miguel: vecinos tiraron piedras y se enfrentaron a la policía luego de la aparición del cuerpo de Sheila Ayala,https://www.lanacion.com.ar/2183027-san-miguel-vecinos-tiraron-piedras-se-enfrentaron
58291,23:36 19/10/2018,2.0,0,@bigger98 yo lo daria un par de balazos a los hijos y se termina moyano ,fcab1,True,Economía,"Macri apuntó contra Moyano: ""No podemos tener métodos mafiosos en todo el sistema logístico""",https://www.lanacion.com.ar/2183387-macri-habla-cierre-del-coloquio-idea
58706,22:36 19/10/2018,1.0,0,"POROTA, FIJATE SI ENCONTRÁS EL TREN BALA EN ALGUNA VALIJA ... NO ESTÁ SALIENDO DE RETIRO",BRUCE54,False,Economía,"Macri apuntó contra Moyano: ""No podemos tener métodos mafiosos en todo el sistema logístico""",https://www.lanacion.com.ar/2183387-macri-habla-cierre-del-coloquio-idea
65711,18:44 22/10/2018,2.0,0,@parenderobar Quedate tranquilo que si lo hacia en Japon le daban pena de muerte.,Seba_Uribarri,True,El Mundo,La historia del caníbal japonés que se comió a una holandesa y se convirtió en estrella,https://www.lanacion.com.ar/2184093-la-historia-del-canibal-japones-se-comio
66247,00:10 23/10/2018,4.0,1,Recuerden: Como todo amor entre peronistas... éste termina a los balazos.,Jose_felix,False,Política,"En el Vaticano prefirieron el silencio pero admiten que el Papa está ""informado""",https://www.lanacion.com.ar/2184213-en-vaticano-prefirieron-silencio-pero-admiten-papa
66759,18:59 22/10/2018,3.0,2,DEVOLVERÁ UNA PEQUEÑA PARTE DE LO ROBADO. PERPETUA O PENA DE MUERTE LE DARÍAN EN EL PRIMER MUNDO Y CHINA RESPECTIVAMENTE.,parenderobar,False,Política,Ricardo Jaime cumplirá una pena de cuatro años por enriquecimiento ilícito y pagará una multa de $13 millones,https://www.lanacion.com.ar/2184183-ricardo-jaime-cumplira-pena-cuatro-anos-enriquecimiento
66761,19:08 22/10/2018,1.0,0,En China hay pena de muerte para políticos corruptos.,wknackwurst,False,Política,Ricardo Jaime cumplirá una pena de cuatro años por enriquecimiento ilícito y pagará una multa de $13 millones,https://www.lanacion.com.ar/2184183-ricardo-jaime-cumplira-pena-cuatro-anos-enriquecimiento
66805,18:43 22/10/2018,,0,Se merece por lo menos pena de muerte. Y devolucion de todo lo robado.,soyn2093,False,Política,Ricardo Jaime cumplirá una pena de cuatro años por enriquecimiento ilícito y pagará una multa de $13 millones,https://www.lanacion.com.ar/2184183-ricardo-jaime-cumplira-pena-cuatro-anos-enriquecimiento
